zp,descripcion,id_fecha,id_Grupo,id_Asunto,id_Hora,colonia,id_Lugar,calle2
208.0,POLICIA COMERCIAL,2022-08-12,DET. ORDEN PENDIENTE,DET. ORDEN PENDIENTE,21:15,FOVISSTE CHAMIZAL,RIO POTOMAC,PROFESOR ABRAHAM SALAZAR VAZQUEZ
520.0,GOE,2022-08-09,ROBO A NEGOCIO,ROBO A TIENDAS DE CONVENIENCIA,23:30,PRADERAS DEL SOL,DE LAS TORRES,LEONARDO SOLIS BARRAZA
503.0,GOE,2022-03-24,ARMAS DECOMISADAS,ARMAS DE FUEGO DECOM.,21:00,TERRENOS NACIONALES,EJIDO LA QUEMADA,BENJAMIN ARGUMEDO
502.0,UNEVID,2022-03-26,ROBO A CASA HABITACION,ROBO A CASA HABITACION,14:42,SALVARCAR,PUEBLA,MARIANO JIMENEZ
521.0,POLICIA COMERCIAL,2022-03-26,ROBO A NEGOCIO,ROBO FARDERO,15:52,USOS MIXTOS,DON MANUEL TALAMAS CAMANDARI,INDEPENDENCIA
515.0,SUR,2022-03-28,ROBO OTROS,ROBO A REPARTIDOR,14:22,OLIVIA ESPINOZA DE BERMUDEZ,OLIVIA ESPINOZA DE BERMUDEZ,GUILLERMINA VALDEZ VILLALBA
604.0,POLICIA COMERCIAL,2022-03-28,ROBO A CASA HABITACION,ROBO A CASA HABITACION,16:45,AMPLIACION AEROPUERTO,MAMEY,MANUEL JESUS CLOUTHIER
522.0,SUR,2022-03-29,DET. ORDEN PENDIENTE,DET. ORDEN PENDIENTE,16:00,VALLE DE ALLENDE,ELIO ARANDA,LA HERRADURA
522.0,SUR,2022-03-29,HOMICIDIO C ARMA DE FUEGO,HOMICIDIO C ARMA DE FUEGO,19:54,LAS HACIENDAS,HACIENDA BATOPILAS,HACIENDA LA TAPIA
522.0,SUR,2022-03-29,LESIONES ARMA DE FUEGO,HOMICIDIO C ARMA DE FUEGO,19:54,LAS HACIENDAS,HACIENDA BATOPILAS,HACIENDA LA TAPIA
522.0,SUR,2022-03-29,DET. ORDEN PENDIENTE,DET. ORDEN PENDIENTE,16:00,VALLE DE ALLENDE,ELIO ARANDA,LA HERRADURA
525.0,SUR,2022-03-29,ROBO A CASA HABITACION,ROBO A CASA HABITACION,11:45,VILLAS DE ALCALA,VILLA ALEMANA,VILLAS DE ALCALA
514.0,UNEVID,2022-03-28,DET. ORDEN PENDIENTE,DET. ORDEN PENDIENTE,08:20,PARAJES DE ORIENTE,ZARAGOZA,SANTIAGO TRONCOSO
633.0,GOE,2022-03-28,ARMAS DECOMISADAS,ARMAS DE FUEGO DECOM.,13:32,VALLE DE ALLENDE,MARQUES DE ASTORGA,MARQUES DE ANTARES
633.0,GOE,2022-03-28,TENTATIVA DE HOMICIDIO,TENTATIVA DE HOMICIDIO,13:32,VALLE DE ALLENDE,MARQUES DE ASTORGA,MARQUES DE ANTARES
618.0,GOE,2022-03-28,TENTATIVA DE HOMICIDIO,TENTATIVA DE HOMICIDIO,20:25,TORRES DEL PRI,RENE MASCAREÐAS MIRANDA,ESTRELLA ALAMAC
612.0,POLICIA COMERCIAL,2022-03-30,ROBO A NEGOCIO,ROBO FARDERO,13:04,USOS MIXTOS,HIEDRA,MANUEL JESUS CLOUTHIER
522.0,POLICIA COMERCIAL,2022-04-03,PRIVACION DE LA LIBERTAD,PRIVACION DE LA LIBERTAD,09:15,LAS HACIENDAS,HACIENDA PONIENTE,HACIENDA LAS CRUCES
526.0,UNEVID,2022-04-01,VIOLACION,VIOLACION,19:00,PARAJES DE SAN JOSE,COSTA LA GOMERA,FUNDADORES
516.0,UNEVID,2022-04-02,DET. ORDEN PENDIENTE,DET. ORDEN PENDIENTE,10:20,PARAJES DE SAN ISIDRO,SONETO 156,VOLCAN VILLARICA
